21/05/2025 21:06:00 - INFO - Usuário: Sistema | Ação: Listagem de usuários | Status: Sucesso
21/05/2025 21:06:34 - INFO - Usuário: Maria@gmail.com | Ação: Validação de chave organizador | Status: Sucesso
21/05/2025 21:06:39 - INFO - Usuário: Maria@gmail.com | Ação: Cadastro de Usuário | Status: Sucesso
21/05/2025 21:06:42 - INFO - Usuário: Sistema | Ação: Listagem de usuários | Status: Sucesso
21/05/2025 21:06:53 - INFO - Usuário: Maria@gmail.com | Ação: Exclusão usuário ID 6 | Status: Sucesso
21/05/2025 21:06:56 - INFO - Usuário: Sistema | Ação: Listagem de usuários | Status: Sucesso
22/05/2025 12:04:21 - INFO - Usuário: Joana@gmail.com | Ação: Validação de chave organizador | Status: Sucesso
22/05/2025 12:04:25 - INFO - Usuário: Joana@gmail.com | Ação: Cadastro de Usuário | Status: Sucesso
22/05/2025 12:04:29 - INFO - Usuário: Sistema | Ação: Listagem de usuários | Status: Sucesso
22/05/2025 12:05:19 - INFO - Usuário: Jose@gmail.com | Ação: Cadastro participante | Status: Sucesso
22/05/2025 12:05:24 - INFO - Usuário: Jose@gmail.com | Ação: Cadastro de Usuário | Status: Sucesso
22/05/2025 12:05:33 - INFO - Usuário: Sistema | Ação: Listagem de usuários | Status: Sucesso
